mr07b03.mbld, 雷門中学　正門前
mr08b01.mbld, 傘美野中
mr09b01.mbld, 奈良シカ公園　市街地側
mr09b02.mbld, 奈良シカ公園　巨シカ像側
mr09b03.mbld, 奈良市内１
mr09b04.mbld, 奈良市内２　シカ像側
mr10b01.mbld, 白恋中学　校舎前
mr10b02.mbld, 白恋中学　グラウンド前
mr10b03.mbld, 北海道街中　東側
mr10b05.mbld, 大雪原
mr11b02.mbld, 漫遊寺中　グラウンド前
mr11b03.mbld, 京都府内　大通り
mr12b03.mbld, 愛媛市内１
mr13b01.mbld, ナニワランド 入り口前
mr13b02.mbld, ナニワランド 広場
mr13b04.mbld, 大阪府内１
mr13b05.mbld, 大阪府内２ ふぐ側
mr14b01.mbld, 陽花戸中
mr14b02.mbld, 福岡市内１　大通り
mr15b01.mbld, 大海原中学
mr15b03.mbld, 沖縄市内
mr19b01.mbld, 雷門中学　部室前
mr19b02.mbld, 雷門中学　体育館前
mr19b03.mbld, 駄菓子屋前
mr19i01.mbld, 雷門中学　正面校舎１Ｆ
mr19i02.mbld, 雷門中学　正面校舎２Ｆ
mr19i03.mbld, 雷門中学　合宿所１Ｆ
mr19i04.mbld, 雷門中学　正面校舎３Ｆ
mr19i05.mbld, 雷門中学　合宿所２Ｆ
mr19i07.mbld, 雷門中学　サッカー部室小部屋
mr19i08.mbld, 雷門中学　サッカー部室
mr20b01.mbld, 東京大江戸国際空港　外観
mr20b02.mbld, 虎ノ屋　周辺（夜）
mr20b03.mbld, 虎ノ屋　周辺（昼）
mr20b04.mbld, アジア予選会場　外観
mr20b05.mbld, サッカー協会　入口
mr20b06.mbld, 虎ノ屋　下
mr20i01.mbld, 東京大江戸国際空港　ロビー
mr20i02.mbld, 虎ノ屋　内観
mr20i03.mbld, アジア予選会場　内観
mr20i04.mbld, アジア予選会場　グラウンド
mr20i05.mbld, サッカー協会　エントランス
mr20i06.mbld, サッカー協会　資料室
mr21b01.mbld, ライコット空港　外観
mr21b02.mbld, タイタニックスタジアム前
mr21b03.mbld, ライコット港
mr21b04.mbld, セントラルパーク
mr21b05.mbld, ライコット病院　外観
mr21i01.mbld, タイタニックスタジアム　廊下
mr21i02.mbld, タイタニックスタジアム　控え室
mr21i03.mbld, タイタニックスタジアム　グラウンド
mr21i04.mbld, ライオコット病院　ロビー
mr21i05.mbld, ライオコット病院　病室
mr21i06.mbld, ライオコット空港　ロビー
mr21i10.mbld, 新修練場　受付
mr22b01.mbld, ジャパンエリア　ブロック１
mr22b02.mbld, ジャパンエリア　ブロック２
mr22i01.mbld, ジャパンエリア　秘宝堂＆ペンギーゴ
mr22i02.mbld, ジャパンエリア　ごくらくマート
mr22i03.mbld, ジャパンエリア　宿舎ロビー
mr22i04.mbld, ジャパンエリア　宿舎２Ｆ
mr22i05.mbld, ジャパンエリア　修練場受付
